venue,num_papers
Journal of Organizational and End User Computing,129
cologne twente workshop on graphs and combinatorial optimization,129
International Journal of Computer Applications,129
smart card research and advanced application conference,129
natural language generation,128
Journal of Location Based Services,128
international workshop on principles of software evolution,127
International Journal of Distributed Systems and Technologies,127
International Journal of Decision Support System Technology,127
Advances in Bioinformatics,127
trust and trustworthy computing,127
asian conference on machine learning,127
geographic information retrieval,127
world congress on engineering,127
formal techniques for (networked and) distributed systems,127
